protein_ac,drug_id
O15121,DB12764
O15146,DB02567
O15146,DB04849
O15146,DB04868
O15146,DB05524
O15146,DB05552
O15146,DB06195
O15146,DB06314
O15146,DB06486
O15146,DB06616
O15146,DB06626
O15146,DB06999
O15146,DB07159
O15146,DB07335
O15146,DB07835
O15146,DB08052
O15146,DB08053
O15146,DB08054
O15146,DB08073
O15146,DB08094
O15146,DB08142
O15146,DB08300
O15146,DB08568
O15146,DB08865
O15146,DB08877
O15146,DB08916
O15146,DB09079
O15146,DB11526
O15146,DB11663
O15146,DB11689
O15146,DB11828
O15146,DB11958
O15146,DB12302
O15146,DB12307
O15146,DB12429
O15146,DB12500
O15146,DB12745
O15146,DB15186
O15151,DB11890
O15197,DB00317
O15197,DB00530
O15197,DB00619
O15197,DB01254
O15197,DB01259
O15197,DB02010
O15197,DB02567
O15197,DB03044
O15197,DB03496
O15197,DB04849
O15197,DB04868
O15197,DB04879
O15197,DB05294
O15197,DB05424
O15197,DB05552
O15197,DB05575
O15197,DB05928
O15197,DB05969
O15197,DB05984
O15197,DB06314
O15197,DB06486
O15197,DB06589
O15197,DB06616
O15197,DB06626
O15197,DB06999
O15197,DB07138
O15197,DB07159
O15197,DB08094
O15197,DB08142
O15197,DB08568
O15197,DB08865
O15197,DB08877
O15197,DB08895
O15197,DB08916
O15197,DB09079
O15197,DB11526
O15197,DB11663
O15197,DB11689
O15197,DB11828
O15197,DB11829
O15197,DB11958
O15197,DB12307
O15197,DB12429
O15197,DB12500
O15197,DB12745
O15197,DB13061
O15217,DB00903
O15244,DB00213
O15244,DB00224
O15244,DB00280
O15244,DB00320
O15244,DB00341
O15244,DB00382
O15244,DB00457
O15244,DB00458
O15244,DB00478
O15244,DB00490
O15244,DB00503
O15244,DB00549
O15244,DB00619
O15244,DB00624
O15244,DB00734
O15244,DB00738
O15244,DB00751
O15244,DB00762
O15244,DB00878
O15244,DB00908
O15244,DB00915
O15244,DB00927
O15244,DB00960
O15244,DB00975
O15244,DB00977
O15244,DB01030
O15244,DB01035
O15244,DB01100
O15244,DB01136
O15244,DB01173
O15244,DB01184
O15244,DB01199
O15244,DB01204
O15244,DB01238
O15244,DB01273
O15244,DB04813
O15244,DB04835
O15244,DB06174
O15244,DB08837
O15244,DB11827
O15244,DB12712
O15244,DB12831
O15244,DB13729
O15244,DB14726
O15245,DB00091
O15245,DB00122
O15245,DB00158
O15245,DB00175
O15245,DB00181
O15245,DB00184
O15245,DB00187
O15245,DB00197
O15245,DB00199
O15245,DB00201
O15245,DB00213
O15245,DB00252
O15245,DB00254
O15245,DB00264
O15245,DB00277
O15245,DB00281
O15245,DB00313
O15245,DB00316
O15245,DB00318
O15245,DB00335
O15245,DB00341
O15245,DB00342
O15245,DB00356
O15245,DB00363
O15245,DB00373
O15245,DB00376
O15245,DB00390
O15245,DB00395
O15245,DB00396
O15245,DB00400
O15245,DB00415
O15245,DB00421
O15245,DB00437
O15245,DB00446
O15245,DB00451
O15245,DB00455
O15245,DB00482
O15245,DB00489
O15245,DB00490
O15245,DB00495
O15245,DB00499
O15245,DB00503
O15245,DB00512
O15245,DB00530
O15245,DB00531
O15245,DB00544
O15245,DB00558
O15245,DB00563
O15245,DB00564
O15245,DB00567
O15245,DB00570
O15245,DB00584
O15245,DB00586
O15245,DB00590
O15245,DB00605
O15245,DB00608
O15245,DB00619
O15245,DB00625
O15245,DB00635
O15245,DB00641
O15245,DB00668
O15245,DB00675
O15245,DB00682
O15245,DB00695
O15245,DB00696
O15245,DB00704
O15245,DB00720
O15245,DB00734
O15245,DB00737
O15245,DB00738
O15245,DB00742
O15245,DB00759
O15245,DB00762
O15245,DB00763
O15245,DB00773
O15245,DB00783
O15245,DB00787
O15245,DB00795
O15245,DB00813
O15245,DB00816
O15245,DB00818
O15245,DB00829
O15245,DB00841
O15245,DB00847
O15245,DB00871
O15245,DB00878
O15245,DB00911
O15245,DB00945
O15245,DB00968
O15245,DB00975
O15245,DB00988
O15245,DB00993
O15245,DB00996
O15245,DB00999
O15245,DB01004
O15245,DB01009
O15245,DB01016
O15245,DB01023
O15245,DB01032
O15245,DB01035
O15245,DB01039
O15245,DB01045
O15245,DB01050
O15245,DB01062
O15245,DB01067
O15245,DB01085
O15245,DB01113
O15245,DB01142
O15245,DB01165
O15245,DB01174
O15245,DB01193
O15245,DB01197
O15245,DB01204
O15245,DB01222
O15245,DB01229
O15245,DB01235
O15245,DB01268
O15245,DB01275
O15245,DB01296
O15245,DB01337
O15245,DB01435
O15245,DB01536
O15245,DB02342
O15245,DB04652
O15245,DB05381
O15245,DB06148
O15245,DB06151
O15245,DB06243
O15245,DB08838
O15245,DB08840
O15245,DB08930
O15245,DB09002
O15245,DB11186
O15245,DB11846
O15245,DB13616
O15245,DB13738
O15245,DB13919
O15264,DB00317
O15264,DB00530
O15264,DB01254
O15264,DB01259
O15264,DB01765
O15264,DB01809
O15264,DB01946
O15264,DB02567
O15264,DB03496
O15264,DB03693
O15264,DB04216
O15264,DB04719
O15264,DB04849
O15264,DB04868
O15264,DB04879
O15264,DB05294
O15264,DB05424
O15264,DB05552
O15264,DB05575
O15264,DB05928
O15264,DB05969
O15264,DB05984
O15264,DB06195
O15264,DB06314
O15264,DB06486
O15264,DB06589
O15264,DB06616
O15264,DB06626
O15264,DB06991
O15264,DB06999
O15264,DB07101
O15264,DB07138
O15264,DB07159
O15264,DB07267
O15264,DB07335
O15264,DB07352
O15264,DB07457
O15264,DB07528
O15264,DB07715
O15264,DB07731
O15264,DB07854
O15264,DB07856
O15264,DB07876
O15264,DB07919
O15264,DB08036
O15264,DB08052
O15264,DB08053
O15264,DB08054
O15264,DB08094
O15264,DB08142
O15264,DB08300
O15264,DB08424
O15264,DB08568
O15264,DB08780
O15264,DB08865
O15264,DB08877
O15264,DB08916
O15264,DB11526
O15264,DB11663
O15264,DB11689
O15264,DB11828
O15264,DB11958
O15264,DB12072
O15264,DB12307
O15264,DB12500
O15264,DB12745
O15264,DB13875
O15264,DB15186
O15294,DB03435
O15296,DB00126
O15296,DB00744
O15296,DB01243
O15296,DB04216
O15296,DB07795
O15303,DB00128
O15303,DB01110
O15303,DB02057
O15303,DB02517
O15303,DB02655
O15303,DB02999
O15357,DB00852
O15357,DB01364
O15379,DB00313
O15379,DB00530
O15379,DB01259
O15379,DB03568
O15379,DB03860
O15379,DB05223
O15379,DB06819
O15379,DB12174
O15379,DB12382
O15379,DB12610
O15379,DB12847
O15379,DB13101
O15379,DB13346
O15379,DB15419
O15379,DB15588
O15392,DB13277
O15438,DB00006
O15438,DB00091
O15438,DB00136
O15438,DB00153
O15438,DB00177
O15438,DB00178
O15438,DB00180
O15438,DB00181
O15438,DB00184
O15438,DB00188
O15438,DB00190
O15438,DB00196
O15438,DB00197
O15438,DB00199
O15438,DB00201
O15438,DB00204
O15438,DB00206
O15438,DB00207
O15438,DB00210
O15438,DB00215
O15438,DB00220
O15438,DB00222
O15438,DB00224
O15438,DB00227
O15438,DB00230
O15438,DB00242
O15438,DB00248
O15438,DB00250
O15438,DB00262
O15438,DB00263
O15438,DB00264
O15438,DB00270
O15438,DB00271
O15438,DB00273
O15438,DB00274
O15438,DB00276
O15438,DB00277
O15438,DB00280
O15438,DB00281
O15438,DB00285
O15438,DB00287
O15438,DB00291
O15438,DB00293
O15438,DB00307
O15438,DB00310
O15438,DB00315
O15438,DB00316
O15438,DB00317
O15438,DB00321
O15438,DB00323
O15438,DB00328
O15438,DB00331
O15438,DB00334
O15438,DB00335
O15438,DB00337
O15438,DB00338
O15438,DB00339
O15438,DB00342
O15438,DB00343
O15438,DB00349
O15438,DB00350
O15438,DB00351
O15438,DB00356
O15438,DB00357
O15438,DB00359
O15438,DB00363
O15438,DB00367
O15438,DB00369
O15438,DB00370
O15438,DB00373
O15438,DB00379
O15438,DB00381
O15438,DB00382
O15438,DB00384
O15438,DB00385
O15438,DB00387
O15438,DB00393
O15438,DB00399
O15438,DB00401
O15438,DB00402
O15438,DB00409
O15438,DB00410
O15438,DB00412
O15438,DB00413
O15438,DB00426
O15438,DB00433
O15438,DB00437
O15438,DB00440
O15438,DB00442
O15438,DB00443
O15438,DB00444
O15438,DB00446
O15438,DB00448
O15438,DB00455
O15438,DB00457
O15438,DB00458
O15438,DB00459
O15438,DB00467
O15438,DB00468
O15438,DB00469
O15438,DB00472
O15438,DB00475
O15438,DB00477
O15438,DB00479
O15438,DB00480
O15438,DB00482
O15438,DB00485
O15438,DB00487
O15438,DB00489
O15438,DB00491
O15438,DB00494
O15438,DB00495
O15438,DB00499
O15438,DB00501
O15438,DB00502
O15438,DB00503
O15438,DB00507
O15438,DB00518
O15438,DB00519
O15438,DB00525
O15438,DB00531
O15438,DB00533
O15438,DB00535
O15438,DB00537
O15438,DB00540
O15438,DB00543
O15438,DB00544
O15438,DB00549
O15438,DB00550
O15438,DB00552
O15438,DB00554
O15438,DB00555
O15438,DB00559
O15438,DB00560
O15438,DB00564
O15438,DB00567
O15438,DB00571
O15438,DB00580
O15438,DB00582
O15438,DB00588
O15438,DB00593
O15438,DB00601
O15438,DB00603
O15438,DB00605
O15438,DB00608
O15438,DB00615
O15438,DB00619
O15438,DB00622
O15438,DB00624
O15438,DB00631
O15438,DB00636
O15438,DB00637
O15438,DB00641
O15438,DB00643
O15438,DB00649
O15438,DB00654
O15438,DB00656
O15438,DB00661
O15438,DB00669
O15438,DB00671
O15438,DB00672
O15438,DB00673
O15438,DB00674
O15438,DB00675
O15438,DB00683
O15438,DB00684
O15438,DB00688
O15438,DB00695
O15438,DB00697
O15438,DB00698
O15438,DB00700
O15438,DB00701
O15438,DB00714
O15438,DB00718
O15438,DB00722
O15438,DB00724
O15438,DB00731
O15438,DB00732
