	protein_ac	gene_name	protein_name
8354	Q8N1B4	VPS52	VPS52_HUMAN
8355	Q9UPM9	B9D1	B9D1_HUMAN
8356	A6NHQ4	EPOP	EPOP_HUMAN
8357	O60890	OPHN1	OPHN1_HUMAN
8358	P28328	PEX2	PEX2_HUMAN
8359	Q9Y4B5	MTCL1	MTCL1_HUMAN
8360	Q5T9C2	FAM102A	F102A_HUMAN
8361	P36383	GJC1	CXG1_HUMAN
8362	O95749	GGPS1	GGPPS_HUMAN
8363	Q92519	TRIB2	TRIB2_HUMAN
8364	Q9H0K1	SIK2	SIK2_HUMAN
8365	Q32Q12	NME1-NME2	Q32Q12_HUMAN
8366	Q86YS7	C2CD5	C2CD5_HUMAN
8367	Q8TC07	TBC1D15	TBC15_HUMAN
8368	A6NMY6	ANXA2P2	AXA2L_HUMAN
8369	Q9UI36	DACH1	DACH1_HUMAN
8370	Q8TB45	DEPTOR	DPTOR_HUMAN
8371	O14569	CYB561D2	C56D2_HUMAN
8372	Q6ZSG1	RNF165	RN165_HUMAN
8373	O75110	ATP9A	ATP9A_HUMAN
8374	Q8WVP7	LMBR1	LMBR1_HUMAN
8375	P27918	CFP	PROP_HUMAN
8376	Q6PII3	CCDC174	CC174_HUMAN
8377	Q00973	B4GALNT1	B4GN1_HUMAN
8378	Q8WW62	TMED6	TMED6_HUMAN
8379	P32243	OTX2	OTX2_HUMAN
8380	Q9H082	RAB33B	RB33B_HUMAN
8381	Q9Y6Q3	ZFP37	ZFP37_HUMAN
8382	O94880	PHF14	PHF14_HUMAN
8383	Q9UGU0	TCF20	TCF20_HUMAN
8384	P08247	SYP	SYPH_HUMAN
8385	Q9HD23	MRS2	MRS2_HUMAN
8386	Q9Y6A4	CFAP20	CFA20_HUMAN
8387	Q9HCC8	GDPD2	GDPD2_HUMAN
8388	Q9NVX7	KBTBD4	KBTB4_HUMAN
8389	Q9NXE8	CWC25	CWC25_HUMAN
8390	Q5T036	FAM120AOS	F120S_HUMAN
8391	Q9NUQ6	SPATS2L	SPS2L_HUMAN
8392	Q13029	PRDM2	PRDM2_HUMAN
8393	O75342	ALOX12B	LX12B_HUMAN
8394	Q9UFG5	C19orf25	CS025_HUMAN
8395	Q9Y253	POLH	POLH_HUMAN
8396	P08913	ADRA2A	ADA2A_HUMAN
8397	O76070	SNCG	SYUG_HUMAN
8398	P54252	ATXN3	ATX3_HUMAN
8399	Q9H672	ASB7	ASB7_HUMAN
8400	Q6ZN04	MEX3B	MEX3B_HUMAN
8401	P51153	RAB13	RAB13_HUMAN
8402	O75290	ZNF780A	Z780A_HUMAN
8403	P40424	PBX1	PBX1_HUMAN
8404	Q9UL42	PNMA2	PNMA2_HUMAN
8405	P16298	PPP3CB	PP2BB_HUMAN
8406	Q9Y6H1	CHCHD2	CHCH2_HUMAN
8407	P08833	IGFBP1	IBP1_HUMAN
8408	Q9UHI8	ADAMTS1	ATS1_HUMAN
8409	Q8NA82	MARCH10	MARHA_HUMAN
8410	Q93084	ATP2A3	AT2A3_HUMAN
8411	Q496A3	SPATS1	SPAS1_HUMAN
8412	Q9UK61	TASOR	TASOR_HUMAN
8413	Q6UWJ1	TMCO3	TMCO3_HUMAN
8414	Q9NR77	PXMP2	PXMP2_HUMAN
8415	Q96MW5	COG8	COG8_HUMAN
8416	P20366	TAC1	TKN1_HUMAN
8417	Q6UXH1	CRELD2	CREL2_HUMAN
8418	P54727	RAD23B	RD23B_HUMAN
8419	Q8NCD3	HJURP	HJURP_HUMAN
8420	Q69YH5	CDCA2	CDCA2_HUMAN
8421	Q8N5U6	RNF10	RNF10_HUMAN
8422	O15393	TMPRSS2	TMPS2_HUMAN
8423	Q53H47	SETMAR	SETMR_HUMAN
8424	P04745	AMY1A	AMY1_HUMAN
8425	Q01518	CAP1	CAP1_HUMAN
8426	Q9BT88	SYT11	SYT11_HUMAN
8427	Q96P63	SERPINB12	SPB12_HUMAN
8428	Q9H1R3	MYLK2	MYLK2_HUMAN
8429	Q12866	MERTK	MERTK_HUMAN
8430	P48201	ATP5MC3	AT5G3_HUMAN
8431	Q9NQT5	EXOSC3	EXOS3_HUMAN
8432	P21917	DRD4	DRD4_HUMAN
8433	Q96D03	DDIT4L	DDT4L_HUMAN
8434	P25025	CXCR2	CXCR2_HUMAN
8435	P30679	GNA15	GNA15_HUMAN
8436	O94889	KLHL18	KLH18_HUMAN
8437	Q9NQ86	TRIM36	TRI36_HUMAN
8438	P54277	PMS1	PMS1_HUMAN
8439	Q70CQ3	USP30	UBP30_HUMAN
8440	Q8IYR2	SMYD4	SMYD4_HUMAN
8441	Q9UJC3	HOOK1	HOOK1_HUMAN
8442	Q7Z4H3	HDDC2	HDDC2_HUMAN
