	protein_ac	gene_name	protein_name
15397	P57723	PCBP4	PCBP4_HUMAN
15398	O43680	TCF21	TCF21_HUMAN
15399	O60756	BCE1	BCE1_HUMAN
15400	Q9NQN1	OR2S2	OR2S1_HUMAN
15401	P78411	IRX5	IRX5_HUMAN
15402	Q9BSK0	MARVELD1	MALD1_HUMAN
15403	O14791	APOL1	APOL1_HUMAN
15404	Q8TAG5	VSTM2A	VTM2A_HUMAN
15405	Q9NZG7	NINJ2	NINJ2_HUMAN
15406	Q53H54	TRMT12	TYW2_HUMAN
15407	Q9BY67	CADM1	CADM1_HUMAN
15408	Q9UHI5	SLC7A8	LAT2_HUMAN
15409	Q9H3S4	TPK1	TPK1_HUMAN
15410	A0A087WW87	IGKV2-40	KV240_HUMAN
15411	Q7Z7G8	VPS13B	VP13B_HUMAN
15412	C9JLW8	MCRIP1	MCRI1_HUMAN
15413	Q9ULI2	RIMKLB	RIMKB_HUMAN
15414	P59901	LILRA4	LIRA4_HUMAN
15415	Q9P2N4	ADAMTS9	ATS9_HUMAN
15416	Q8TDX9	PKD1L1	PK1L1_HUMAN
15417	Q6UVM3	KCNT2	KCNT2_HUMAN
15418	Q08493	PDE4C	PDE4C_HUMAN
15419	Q53Y47		Q53Y47_HUMAN
15420	Q8IXS0	FAM217A	F217A_HUMAN
15421	Q9HC73	CRLF2	CRLF2_HUMAN
15422	Q9NPE6	SPAG4	SPAG4_HUMAN
15423	Q9HCX4	TRPC7	TRPC7_HUMAN
15424	Q9NUJ7	PLCXD1	PLCX1_HUMAN
15425	Q9GZX6	IL22	IL22_HUMAN
15426	Q8TBY9	WDR66	CF251_HUMAN
15427	P18627	LAG3	LAG3_HUMAN
15428	Q8IY82	DRC7	DRC7_HUMAN
15429	Q8TBK2	SETD6	SETD6_HUMAN
15430	Q59FP4		Q59FP4_HUMAN
15431	Q9BQE6	LBHD1	LBHD1_HUMAN
15432	O95645	ps1ly2h-25	O95645_HUMAN
15433	Q5BKY9	FAM133B	F133B_HUMAN
15434	Q6UXB0	FAM131A	F131A_HUMAN
15435	Q8TC56	FAM71B	FA71B_HUMAN
15436	Q86SU0	ILDR1	ILDR1_HUMAN
15437	A1L3X0	ELOVL7	ELOV7_HUMAN
15438	Q86YR7	MCF2L2	MF2L2_HUMAN
15439	P48169	GABRA4	GBRA4_HUMAN
15440	Q8WTQ7	GRK7	GRK7_HUMAN
15441	Q32NB8	PGS1	PGPS1_HUMAN
15442	Q96C45	ULK4	ULK4_HUMAN
15443	A8MYJ7	TTC34	TTC34_HUMAN
15444	Q9HCN3	TMEM8A	TMM8A_HUMAN
15445	Q9H5W7		Q9H5W7_HUMAN
15446	P14651	HOXB3	HXB3_HUMAN
15447	Q7LC44	ARC	ARC_HUMAN
15448	Q86WS4	C12orf40	CL040_HUMAN
15449	Q5EE01	CENPW	CENPW_HUMAN
15450	Q8NFY4	SEMA6D	SEM6D_HUMAN
15451	Q8WV93	AFG1L	AFG1L_HUMAN
15452	P02689	PMP2	MYP2_HUMAN
15453	Q6DCA5	CCDC88A	Q6DCA5_HUMAN
15454	Q96NN9	AIFM3	AIFM3_HUMAN
15455	Q4W5T8	PKP4	Q4W5T8_HUMAN
15456	P09341	CXCL1	GROA_HUMAN
15457	B2R4P2		B2R4P2_HUMAN
15458	P16619	CCL3L1	CL3L1_HUMAN
15459	Q86T23	CROCCP2	CROL1_HUMAN
15460	Q9BQW3	EBF4	COE4_HUMAN
15461	Q86U10	ASPG	LPP60_HUMAN
15462	Q6UW88	EPGN	EPGN_HUMAN
15463	Q5T890	ERCC6L2	ER6L2_HUMAN
15464	Q16517	NNAT	NNAT_HUMAN
15465	Q8NBI5	SLC43A3	S43A3_HUMAN
15466	P56750	CLDN17	CLD17_HUMAN
15467	Q96LM8		Q96LM8_HUMAN
15468	Q3MI39	HNRPA1	Q3MI39_HUMAN
15469	P17025	ZNF182	ZN182_HUMAN
15470	Q9BXN6	SPANXD	SPNXD_HUMAN
15471	Q9Y543	HES2	HES2_HUMAN
15472	Q9HCZ1	ZNF334	ZN334_HUMAN
15473	Q9H0Z9	RBM38	RBM38_HUMAN
15474	Q96B45	BORCS7	BORC7_HUMAN
15475	Q5TYW1	ZNF658	ZN658_HUMAN
15476	Q5W186	CST9	CST9_HUMAN
15477	Q8TET4	GANC	GANC_HUMAN
15478	Q0D2J5	ZNF763	ZN763_HUMAN
15479	Q8NCQ2	CSNK1G2-AS1	CNAS1_HUMAN
15480	Q8IVF7	FMNL3	FMNL3_HUMAN
15481	O75346	ZNF253	ZN253_HUMAN
15482	Q96JG9	ZNF469	ZN469_HUMAN
15483	O43866	CD5L	CD5L_HUMAN
15484	Q08AH1	ACSM1	ACSM1_HUMAN
15485	Q96C90	PPP1R14B	PP14B_HUMAN
15486	Q8N3X6	LCORL	LCORL_HUMAN
15487	Q9NW81	DMAC2	DMAC2_HUMAN
15488	Q8IY51	TIGD4	TIGD4_HUMAN
15489	Q92478	CLEC2B	CLC2B_HUMAN
15490	Q6UWV2	MPZL3	MPZL3_HUMAN
15491	Q6PH81	C16orf87	CP087_HUMAN
15492	P10266	ERVK-10	POK10_HUMAN
15493	Q14028	CNGB1	CNGB1_HUMAN
15494	Q53GA4	PHLDA2	PHLA2_HUMAN
15495	O75840	KLF7	KLF7_HUMAN
15496	Q6LCG8		Q6LCG8_HUMAN
15497	Q6PK81	ZNF773	ZN773_HUMAN
15498	Q8IZC6	COL27A1	CORA1_HUMAN
15499	Q9BRT3	MIEN1	MIEN1_HUMAN
15500	Q59G98		Q59G98_HUMAN
15501	Q8N9U0	TC2N	TAC2N_HUMAN
15502	Q5TCH4	CYP4A22	CP4AM_HUMAN
15503	Q96CH1	GPR146	GP146_HUMAN
15504	P05000	IFNW1	IFNW1_HUMAN
15505	O95393	BMP10	BMP10_HUMAN
15506	Q9P2X0	DPM3	DPM3_HUMAN
15507	Q9Y284	WDR83OS	ASTER_HUMAN
15508	Q7Z4H4	ADM2	ADM2_HUMAN
15509	Q8NDM7	CFAP43	CFA43_HUMAN
15510	Q8WUA8	TSKU	TSK_HUMAN
15511	Q7Z6L0	PRRT2	PRRT2_HUMAN
15512	Q7Z3N6	DKFZp686A01173	Q7Z3N6_HUMAN
15513	P23327	HRC	SRCH_HUMAN
15514	P0DMN0	SULT1A4	ST1A4_HUMAN
15515	Q8N131	TMEM123	PORIM_HUMAN
15516	Q92681	RSC1A1	RSCA1_HUMAN
15517	Q4KMR5	ZNF451	Q4KMR5_HUMAN
15518	O75636	FCN3	FCN3_HUMAN
15519	Q495C1	RNF212	RN212_HUMAN
15520	Q8IUC8	GALNT13	GLT13_HUMAN
15521	Q86YW5	TREML1	TRML1_HUMAN
15522	P06881	CALCA	CALCA_HUMAN
15523	Q92546	RGP1	RGP1_HUMAN
15524	Q8IWL1	SFTPA2	SFPA2_HUMAN
15525	Q15847	ADIRF	ADIRF_HUMAN
15526	Q86VD1	MORC1	MORC1_HUMAN
15527	Q9NQQ7	SLC35C2	S35C2_HUMAN
15528	Q9NZU0	FLRT3	FLRT3_HUMAN
15529	Q9Y5G0	PCDHGB5	PCDGH_HUMAN
15530	Q16515	ASIC2	ASIC2_HUMAN
15531	A6NGG8	PCARE	PCARE_HUMAN
15532	Q96HJ5	MS4A3	MS4A3_HUMAN
15533	E9PLD3		E9PLD3_HUMAN
15534	Q12837	POU4F2	PO4F2_HUMAN
15535	Q96T83	SLC9A7	SL9A7_HUMAN
15536	Q66K41	ZNF385C	Z385C_HUMAN
15537	P35789	ZNF93	ZNF93_HUMAN
15538	P49638	TTPA	TTPA_HUMAN
15539	Q8N3Z0	PRSS35	PRS35_HUMAN
15540	Q8NC01	CLEC1A	CLC1A_HUMAN
15541	Q7RTV5	PRXL2C	PXL2C_HUMAN
15542	P10745	RBP3	RET3_HUMAN
15543	P34981	TRHR	TRFR_HUMAN
15544	Q59EB3		Q59EB3_HUMAN
15545	Q96QA6	YPEL2	YPEL2_HUMAN
15546	Q96LW1	ZNF354B	Z354B_HUMAN
15547	P0C7T8	TMEM253	TM253_HUMAN
15548	Q6NXT1	ANKRD54	ANR54_HUMAN
15549	Q7KZQ1		Q7KZQ1_HUMAN
15550	Q3KQV9	UAP1L1	UAP1L_HUMAN
15551	Q63HM1	AFMID	KFA_HUMAN
15552	Q9H9C5	DUB1	Q9H9C5_HUMAN
15553	P08493	MGP	MGP_HUMAN
15554	P51511	MMP15	MMP15_HUMAN
15555	Q9HC74	SBBI23	Q9HC74_HUMAN
15556	Q99470	SDF2	SDF2_HUMAN
15557	O00748	CES2	EST2_HUMAN
15558	Q9UKY0	PRND	PRND_HUMAN
15559	Q96CW9	NTNG2	NTNG2_HUMAN
15560	Q8WXD9	CASKIN1	CSKI1_HUMAN
15561	Q2KHT4	GSG1	GSG1_HUMAN
15562	Q96PX8	SLITRK1	SLIK1_HUMAN
15563	Q9GZV3	SLC5A7	SC5A7_HUMAN
15564	Q9Y6X4	FAM169A	F169A_HUMAN
15565	Q6ZV77	C9orf139	CI139_HUMAN
15566	Q8TC05	MDM1	MDM1_HUMAN
15567	Q9NQ90	ANO2	ANO2_HUMAN
15568	Q9NSA0	SLC22A11	S22AB_HUMAN
15569	Q7Z408	CSMD2	CSMD2_HUMAN
15570	Q6ZN06	ZNF813	ZN813_HUMAN
15571	Q08648	SPAG11B	SG11B_HUMAN
15572	Q96CX6	LRRC58	LRC58_HUMAN
15573	Q495A1	TIGIT	TIGIT_HUMAN
15574	Q6ZP80	TMEM182	TM182_HUMAN
15575	Q6LBI8	topIIb	Q6LBI8_HUMAN
15576	O00321	ETV2	ETV2_HUMAN
15577	P45877	PPIC	PPIC_HUMAN
15578	P56706	WNT7B	WNT7B_HUMAN
15579	O43497	CACNA1G	CAC1G_HUMAN
15580	Q8IYN0	ZNF100	ZN100_HUMAN
15581	P51854	TKTL1	TKTL1_HUMAN
15582	A6NNA2	SRRM3	SRRM3_HUMAN
15583	Q24JQ0	TMEM241	TM241_HUMAN
15584	Q9UHD4	CIDEB	CIDEB_HUMAN
15585	O75751	SLC22A3	S22A3_HUMAN
15586	Q68DY9	ZNF772	ZN772_HUMAN
15587	Q9NP60	IL1RAPL2	IRPL2_HUMAN
15588	Q9H3Q3	GAL3ST2	G3ST2_HUMAN
15589	Q6PI73	LILRA6	LIRA6_HUMAN
15590	Q96FX8	PERP	PERP_HUMAN
15591	O15428	PIN1P1	PINL_HUMAN
15592	P0CG30	GSTT2B	GSTT2_HUMAN
15593	Q71RA7		Q71RA7_HUMAN
15594	Q92859	NEO1	NEO1_HUMAN
15595	P0CE71	OCM2	OCM2_HUMAN
15596	Q07973	CYP24A1	CP24A_HUMAN
15597	O43490	PROM1	PROM1_HUMAN
15598	Q2QD09		Q2QD09_HUMAN
15599	Q8NB59	SYT14	SYT14_HUMAN
15600	Q86UE3	ZNF546	ZN546_HUMAN
15601	Q9UHG0	DCDC2	DCDC2_HUMAN
15602	Q9BVW6	SMIM2	SMIM2_HUMAN
15603	P57071	PRDM15	PRD15_HUMAN
15604	Q9UNA0	ADAMTS5	ATS5_HUMAN
15605	Q9UMR7	CLEC4A	CLC4A_HUMAN
15606	P0CG29	GSTT2	GST2_HUMAN
15607	P81534	DEFB103A	D103A_HUMAN
15608	Q96LI9	CXorf58	CX058_HUMAN
15609	O43315	AQP9	AQP9_HUMAN
15610	Q86V21	AACS	AACS_HUMAN
15611	O95424	DEXI	DEXI_HUMAN
15612	Q9NVV0	TMEM38B	TM38B_HUMAN
15613	O94759	TRPM2	TRPM2_HUMAN
15614	Q5VVH5	IRAK1BP1	IKBP1_HUMAN
15615	Q6UW60	PCSK4	PCSK4_HUMAN
15616	Q6ZSS7	MFSD6	MFSD6_HUMAN
15617	Q4W5G0	TIGD2	TIGD2_HUMAN
15618	P50440	GATM	GATM_HUMAN
15619	Q9Y234	LIPT1	LIPT_HUMAN
15620	Q96PC5	MIA2	MIA2_HUMAN
15621	Q96C23	GALM	GALM_HUMAN
15622	Q96M32	AK7	KAD7_HUMAN
15623	P05014	IFNA4	IFNA4_HUMAN
15624	Q8IZW4		Q8IZW4_HUMAN
15625	A6NGR9	MROH6	MROH6_HUMAN
15626	Q969V1	MCHR2	MCHR2_HUMAN
15627	Q9BXT8	RNF17	RNF17_HUMAN
15628	Q9Y6S9	RPS6KL1	RPKL1_HUMAN
15629	Q6ZMS4	ZNF852	ZN852_HUMAN
15630	Q969D9	TSLP	TSLP_HUMAN
15631	Q9NZH8	IL36G	IL36G_HUMAN
15632	Q96ID7		Q96ID7_HUMAN
15633	Q6ZS17	RIPOR1	RIPR1_HUMAN
15634	Q8TF62	ATP8B4	AT8B4_HUMAN
15635	Q9NQ33	ASCL3	ASCL3_HUMAN
15636	Q86SG2	ANKRD23	ANR23_HUMAN
15637	A8MPX8	PP2D1	PP2D1_HUMAN
15638	Q8IYX0	ZNF679	ZN679_HUMAN
15639	P80294	MT1H	MT1H_HUMAN
15640	A1E959	ODAM	ODAM_HUMAN
15641	O15021	MAST4	MAST4_HUMAN
15642	Q8N944	AMER3	AMER3_HUMAN
15643	Q70HW3	SLC25A26	SAMC_HUMAN
15644	P30046	DDT	DOPD_HUMAN
15645	Q4G0N8	SLC9C1	SL9C1_HUMAN
15646	Q8WWM9	CYGB	CYGB_HUMAN
15647	Q9BX26	SYCP2	SYCP2_HUMAN
15648	Q9H808	TLE6	TLE6_HUMAN
15649	Q9GZW5	SCAND2P	SCND2_HUMAN
15650	P57789	KCNK10	KCNKA_HUMAN
15651	Q8IX82		Q8IX82_HUMAN
15652	Q9NY46	SCN3A	SCN3A_HUMAN
15653	Q9UJV8	PURG	PURG_HUMAN
15654	Q96PB1	CASD1	CASD1_HUMAN
15655	Q6P1X6	C8orf82	CH082_HUMAN
15656	Q9P2J2	IGSF9	TUTLA_HUMAN
15657	Q8NEP9	ZNF555	ZN555_HUMAN
15658	Q5BIV9	SPRN	SPRN_HUMAN
15659	Q96NZ8	WFIKKN1	WFKN1_HUMAN
15660	Q9H669		Q9H669_HUMAN
15661	P0CK97	SLC35E2A	S35E2_HUMAN
15662	Q53GB0		Q53GB0_HUMAN
15663	Q15699	ALX1	ALX1_HUMAN
15664	A6NIJ9	OR6C70	O6C70_HUMAN
15665	P47989	XDH	XDH_HUMAN
15666	Q9Y5Z6	B3GALT1	B3GT1_HUMAN
15667	Q8TDW4	ST7L	ST7L_HUMAN
15668	P60372	KRTAP10-4	KR104_HUMAN
15669	Q6N089	DKFZp686P15220	Q6N089_HUMAN
15670	Q7RTU3	OLIG3	OLIG3_HUMAN
15671	Q0VAK6	LMOD3	LMOD3_HUMAN
15672	Q96MU8	KREMEN1	KREM1_HUMAN
15673	Q6UW01	CBLN3	CBLN3_HUMAN
15674	Q8IUK8	CBLN2	CBLN2_HUMAN
15675	Q07507	DPT	DERM_HUMAN
15676	Q2VIQ3	KIF4B	KIF4B_HUMAN
15677	Q93033	CD101	IGSF2_HUMAN
15678	Q4W5P6	TMEM155	TM155_HUMAN
15679	Q8IZ08	GPR135	GP135_HUMAN
15680	Q9UJG1	MOSPD1	MSPD1_HUMAN
15681	Q96N19	GPR137	G137A_HUMAN
15682	Q9P203	BTBD7	BTBD7_HUMAN
15683	Q8NA29	MFSD2A	NLS1_HUMAN
15684	Q8TE01	derp12	Q8TE01_HUMAN
15685	Q8N635	MEIOB	MEIOB_HUMAN
15686	Q86W11	ZSCAN30	ZSC30_HUMAN
15687	Q68DX3	FRMPD2	FRPD2_HUMAN
15688	Q8N1A0	KRT222	KT222_HUMAN
15689	Q8TBY0	RBM46	RBM46_HUMAN
15690	P08118	MSMB	MSMB_HUMAN
15691	Q96FV2	SCRN2	SCRN2_HUMAN
15692	Q70CQ4	USP31	UBP31_HUMAN
15693	Q96DN0	ERP27	ERP27_HUMAN
15694	Q8NFT8	DNER	DNER_HUMAN
15695	P57773	GJA9	CXA9_HUMAN
15696	Q5TC79	ZBTB37	ZBT37_HUMAN
15697	Q9UHV5	RAPGEFL1	RPGFL_HUMAN
15698	Q9H237	PORCN	PORCN_HUMAN
15699	Q8IV31	TMEM139	TM139_HUMAN
15700	Q9UL41	PNMA3	PNMA3_HUMAN
15701	Q9Y662	HS3ST3B1	HS3SB_HUMAN
15702	Q2NKX9	C2orf68	CB068_HUMAN
15703	Q7Z6J4	FGD2	FGD2_HUMAN
15704	Q5H9L2	TCEAL5	TCAL5_HUMAN
15705	Q6P2H8	TMEM53	TMM53_HUMAN
15706	Q7Z2Y5	NRK	NRK_HUMAN
15707	H0YIS7	RNASEK-C17orf49	H0YIS7_HUMAN
15708	Q8N0W4	NLGN4X	NLGNX_HUMAN
15709	Q9UNK4	PLA2G2D	PA2GD_HUMAN
15710	Q5T9G4	ARMC12	ARM12_HUMAN
15711	Q8NCQ7	PROCA1	PRCA1_HUMAN
15712	Q9HBI5	C3orf14	CC014_HUMAN
15713	P81133	SIM1	SIM1_HUMAN
15714	Q5JPH6	EARS2	SYEM_HUMAN
15715	Q99217	AMELX	AMELX_HUMAN
15716	Q2M3T9	HYAL4	HYAL4_HUMAN
15717	Q53G71		Q53G71_HUMAN
15718	Q8NI16	FGFR3	Q8NI16_HUMAN
15719	Q12887	COX10	COX10_HUMAN
15720	Q02577	NHLH2	HEN2_HUMAN
15721	Q9H8N7	ZNF395	ZN395_HUMAN
15722	Q8N6N5	TUBB2C	Q8N6N5_HUMAN
15723	B9ZVM9	TCP10L2	TCP2L_HUMAN
15724	P01704	IGLV2-14	LV214_HUMAN
15725	P15085	CPA1	CBPA1_HUMAN
15726	Q7KYM9	ORF	Q7KYM9_HUMAN
15727	O00574	CXCR6	CXCR6_HUMAN
15728	Q13449	LSAMP	LSAMP_HUMAN
15729	Q7Z304	MAMDC2	MAMC2_HUMAN
15730	Q8WTV1	THAP3	THAP3_HUMAN
15731	Q6NXT3	RAB34	Q6NXT3_HUMAN
15732	O60241	ADGRB2	AGRB2_HUMAN
15733	P56199	ITGA1	ITA1_HUMAN
15734	Q86YS6	RAB43	RAB43_HUMAN
15735	P14902	IDO1	I23O1_HUMAN
15736	P55285	CDH6	CADH6_HUMAN
15737	O43581	SYT7	SYT7_HUMAN
15738	Q6PIU1	KCNV1	KCNV1_HUMAN
15739	Q7Z4G2	MST075	Q7Z4G2_HUMAN
15740	Q8NEA5	C19orf18	CS018_HUMAN
15741	Q9NPR2	SEMA4B	SEM4B_HUMAN
15742	Q15166	PON3	PON3_HUMAN
15743	Q86VH4	LRRTM4	LRRT4_HUMAN
15744	Q9BRK0	REEP2	REEP2_HUMAN
15745	A6NKF2	ARID3C	ARI3C_HUMAN
15746	Q6EKJ0	GTF2IRD2B	GTD2B_HUMAN
15747	O75508	CLDN11	CLD11_HUMAN
15748	Q9Y3N9	OR2W1	OR2W1_HUMAN
15749	Q09327	MGAT3	MGAT3_HUMAN
15750	P06312	IGKV4-1	KV401_HUMAN
15751	Q7Z3B1	NEGR1	NEGR1_HUMAN
15752	Q6XR72	SLC30A10	ZNT10_HUMAN
15753	P51684	CCR6	CCR6_HUMAN
15754	Q15735	INPP5J	PI5PA_HUMAN
15755	Q8IYB9	ZNF595	ZN595_HUMAN
15756	Q8IYU4	UBQLNL	UBQLN_HUMAN
15757	Q59H09		Q59H09_HUMAN
15758	O75764	TCEA3	TCEA3_HUMAN
15759	P78562	PHEX	PHEX_HUMAN
15760	B0FTY2		B0FTY2_HUMAN
15761	Q7Z572	SPATA21	SPT21_HUMAN
15762	Q8N9W8	FAM71D	FA71D_HUMAN
15763	Q12836	ZP4	ZP4_HUMAN
15764	Q5FYB1	ARSI	ARSI_HUMAN
15765	Q6P3S1	DENND1B	DEN1B_HUMAN
15766	Q5M9Q1	NKAPL	NKAPL_HUMAN
15767	Q9UJ68	MSRA	MSRA_HUMAN
15768	Q9Y536	PPIAL4A	PAL4A_HUMAN
15769	Q14656	TMEM187	TM187_HUMAN
15770	O60844	ZG16	ZG16_HUMAN
15771	P01229	LHB	LSHB_HUMAN
15772	P43004	SLC1A2	EAA2_HUMAN
15773	Q5W7F7	UBE3A	Q5W7F7_HUMAN
15774	Q8IWY4	SCUBE1	SCUB1_HUMAN
15775	Q8IX30	SCUBE3	SCUB3_HUMAN
15776	Q8WZ64	ARAP2	ARAP2_HUMAN
15777	Q8IV16	GPIHBP1	HDBP1_HUMAN
15778	Q13015	MLLT11	AF1Q_HUMAN
15779	P56747	CLDN6	CLD6_HUMAN
15780	Q8N609	TRAM1L1	TR1L1_HUMAN
15781	O15195	VILL	VILL_HUMAN
15782	P58401	NRXN2	NRX2B_HUMAN
15783	P51580	TPMT	TPMT_HUMAN
15784	O60882	MMP20	MMP20_HUMAN
15785	Q9NZW4	DSPP	DSPP_HUMAN
15786	Q8NCS4	TMEM35B	TM35B_HUMAN
15787	Q96P26	NT5C1B	5NT1B_HUMAN
15788	Q4V339	CBWD6	CBWD6_HUMAN
15789	A0A087WUL8	NBPF19	NBPFJ_HUMAN
15790	Q8WZ04	LRTOMT	TOMT_HUMAN
15791	P20848	SERPINA2	A1ATR_HUMAN
15792	Q9NR83	SLC2A4RG	S2A4R_HUMAN
15793	Q14119	VEZF1	VEZF1_HUMAN
15794	O60234	GMFG	GMFG_HUMAN
15795	Q99541	PLIN2	PLIN2_HUMAN
15796	Q08AI8	MAB21L4	MB214_HUMAN
15797	Q13477	MADCAM1	MADCA_HUMAN
15798	P0DJI9	SAA2	SAA2_HUMAN
15799	O43194	GPR39	GPR39_HUMAN
15800	Q6UWT4	C5orf46	CE046_HUMAN
15801	Q68DE3	USF3	USF3_HUMAN
15802	P55344	LIM2	LMIP_HUMAN
15803	Q96A22	C11orf52	CK052_HUMAN
15804	Q96L93	KIF16B	KI16B_HUMAN
15805	P00709	LALBA	LALBA_HUMAN
15806	Q8NHS1	CLDND2	CLDN2_HUMAN
15807	A8MTJ3	GNAT3	GNAT3_HUMAN
15808	Q5VZ03	NXNL2	NXNL2_HUMAN
15809	Q8TBB0	THAP6	THAP6_HUMAN
15810	Q6NZY7	CDC42EP5	BORG3_HUMAN
15811	O95264	HTR3B	5HT3B_HUMAN
15812	Q9HAI6	CXorf21	CX021_HUMAN
15813	Q96LA5	FCRL2	FCRL2_HUMAN
15814	Q6ZMV9	KIF6	KIF6_HUMAN
15815	Q8IV36	HID1	HID1_HUMAN
15816	P22749	GNLY	GNLY_HUMAN
15817	Q8N5C1	CALHM5	CAHM5_HUMAN
15818	O95415	BRI3	BRI3_HUMAN
15819	Q9BSY9	DESI2	DESI2_HUMAN
15820	Q6V1P9	DCHS2	PCD23_HUMAN
15821	Q9NS00	C1GALT1	C1GLT_HUMAN
15822	Q9Y303	AMDHD2	NAGA_HUMAN
15823	Q9HC39		Q9HC39_HUMAN
15824	Q16384	SSX1	SSX1_HUMAN
15825	Q5H9U9	DDX60L	DDX6L_HUMAN
15826	P23280	CA6	CAH6_HUMAN
15827	O60469	DSCAM	DSCAM_HUMAN
15828	O00253	AGRP	AGRP_HUMAN
15829	Q6ZN30	BNC2	BNC2_HUMAN
15830	Q5SVQ8	ZBTB41	ZBT41_HUMAN
15831	Q86XD8	ZFAND4	ZFAN4_HUMAN
15832	Q9Y5L3	ENTPD2	ENTP2_HUMAN
15833	Q494X3	ZNF404	ZN404_HUMAN
15834	Q6P5S2	LEG1	LEG1H_HUMAN
15835	Q8IVL1	NAV2	NAV2_HUMAN
15836	Q12799	TCP10	TCP10_HUMAN
15837	A6NHJ4	ZNF860	ZN860_HUMAN
15838	Q7Z412	PEX26	PEX26_HUMAN
15839	Q9H015	SLC22A4	S22A4_HUMAN
15840	Q147U1	ZNF846	ZN846_HUMAN
15841	Q96RF1		Q96RF1_HUMAN
15842	Q9HCJ1	ANKH	ANKH_HUMAN
15843	Q15777	MPPED2	MPPD2_HUMAN
15844	Q6P9F5	TRIM40	TRI40_HUMAN
15845	O95759	TBC1D8	TBCD8_HUMAN
15846	Q9HCE9	ANO8	ANO8_HUMAN
15847	P14061	HSD17B1	DHB1_HUMAN
15848	Q96SL1	SLC49A4	DIRC2_HUMAN
15849	Q96DR5	BPIFA2	BPIA2_HUMAN
15850	D6RIA3	C4orf54	CD054_HUMAN
15851	Q6ZS27	ZNF662	ZN662_HUMAN
15852	B4DDF7		B4DDF7_HUMAN
15853	P09131	SLC10A3	P3_HUMAN
15854	Q5SYB0	FRMPD1	FRPD1_HUMAN
15855	Q7Z3Y9	KRT26	K1C26_HUMAN
15856	Q2TB20	CLEC4M	Q2TB20_HUMAN
15857	O00712	NFIB	NFIB_HUMAN
15858	P05538	HLA-DQB2	DQB2_HUMAN
15859	Q5TI25	NBPF14	NBPFE_HUMAN
15860	Q9NUU6	OTULINL	OTULL_HUMAN
15861	Q9BY27	DGCR6L	DGC6L_HUMAN
15862	O15037	KHNYN	KHNYN_HUMAN
15863	Q8TF64	GIPC3	GIPC3_HUMAN
15864	P08294	SOD3	SODE_HUMAN
15865	Q9GZU0	C6orf62	CF062_HUMAN
15866	Q59E91		Q59E91_HUMAN
15867	Q8NBP0	TTC13	TTC13_HUMAN
15868	Q96R72	OR4K3	OR4K3_HUMAN
15869	Q9ULE3	DENND2A	DEN2A_HUMAN
15870	O00570	SOX1	SOX1_HUMAN
15871	Q6ZUC8		Q6ZUC8_HUMAN
15872	Q01432	AMPD3	AMPD3_HUMAN
15873	Q8TED9	AFAP1L1	AF1L1_HUMAN
15874	P01733	TRBV12-3	TVBL3_HUMAN
15875	A8K4B4		A8K4B4_HUMAN
15876	A2RRG2	C1orf104	A2RRG2_HUMAN
15877	Q5VWJ9	SNX30	SNX30_HUMAN
15878	P31941	APOBEC3A	ABC3A_HUMAN
15879	O60542	PSPN	PSPN_HUMAN
15880	Q9GZZ7	GFRA4	GFRA4_HUMAN
15881	Q3ZCX4	ZNF568	ZN568_HUMAN
15882	Q6WRI0	IGSF10	IGS10_HUMAN
15883	Q8N4C0	C9orf62	CI062_HUMAN
15884	Q8N111	CEND1	CEND_HUMAN
15885	P55916	UCP3	UCP3_HUMAN
15886	Q9Y6L7	TLL2	TLL2_HUMAN
15887	Q9GZN4	PRSS22	BSSP4_HUMAN
15888	P48165	GJA8	CXA8_HUMAN
15889	P28906	CD34	CD34_HUMAN
15890	Q8NCG5	CHST4	CHST4_HUMAN
15891	Q96N20	ZNF75A	ZN75A_HUMAN
15892	Q8WUU8	TMEM174	TM174_HUMAN
15893	Q9HDC8	NUP98	Q9HDC8_HUMAN
15894	Q8NE65	ZNF738	ZN738_HUMAN
15895	Q9BVK8	TMEM147	TM147_HUMAN
15896	Q96HX3		Q96HX3_HUMAN
15897	D3DS95		D3DS95_HUMAN
15898	P53816	PLAAT3	PLAT3_HUMAN
15899	P17342	NPR3	ANPRC_HUMAN
15900	O15444	CCL25	CCL25_HUMAN
15901	Q92496	CFHR4	FHR4_HUMAN
15902	Q8IYM2	SLFN12	SLN12_HUMAN
15903	Q9H095	IQCG	DRC9_HUMAN
15904	Q8IYY4	DZIP1L	DZI1L_HUMAN
15905	Q8TAE6	PPP1R14C	PP14C_HUMAN
15906	O15335	CHAD	CHAD_HUMAN
15907	Q2M3R5	SLC35G1	S35G1_HUMAN
15908	H3BPM6	MKRN2OS	MKROS_HUMAN
15909	Q9H376		Q9H376_HUMAN
15910	Q6ZMJ2	SCARA5	SCAR5_HUMAN
15911	Q13474	DRP2	DRP2_HUMAN
15912	Q8TCA0	LRRC20	LRC20_HUMAN
15913	Q9NX57	RAB20	RAB20_HUMAN
15914	Q96CW7	C4orf42	Q96CW7_HUMAN
15915	O75339	CILP	CILP1_HUMAN
15916	Q32M88	PGGHG	PGGHG_HUMAN
15917	Q8N729	NPW	NPW_HUMAN
15918	Q9P2C4	TMEM181	TM181_HUMAN
15919	Q8TAU0	NKX2-3	NKX23_HUMAN
