drugbank_id	mondo_id
DB04896	0005546
DB04895	0005417
DB04897	0009971
DB04861	0005044
DB04854	0002144
DB04855	0004981
DB04871	0011122
DB04876	0005148
DB04878	0005148
DB04878	0018150
DB04890	0005642
DB04812	0008383
DB04816	0002203
DB04815	0001461
DB04815	0001405
DB04815	0005984
DB04818	0002050
DB04819	0011786
DB04819	0005642
DB04819	0005492
DB04819	0007448
DB04819	0006004
DB04823	0002203
DB04830	0005148
DB04831	0005044
DB04836	0002050
DB04837	0011786
DB04837	0005709
DB04837	0003014
DB04837	0006004
DB04843	0001126
DB04843	0004247
DB04842	0005090
DB04845	0004989
DB04844	0007739
DB04846	0005044
DB04908	0001821
DB04918	0021201
DB04920	0005044
DB04924	0005001
DB12161	0010096
DB12161	0007739
DB00178	0005098
DB00178	0005044
DB00177	0005044
DB00176	0008114
DB00176	0001247
DB00186	0002125
DB00186	0016532
DB00186	0005383
DB00184	0019975
DB00184	0008575
DB00182	0021107
DB00182	0011122
DB00182	0005302
DB00180	0011786
DB00189	0013600
DB00188	0018876
DB00187	0004981
DB00197	0005148
DB00196	0001648
DB00196	0005886
DB00196	0005723
DB00196	0042233
DB00196	0006014
DB00196	0044070
DB00195	0006875
DB00195	0005338
DB00195	0005044
DB00194	0015288
DB00193	0008143
DB00191	0011122
DB00191	0005468
DB00190	0001945
DB00190	0005180
DB12184	0002009
DB00199	0021108
DB00199	0025598
DB00199	0001548
DB00199	0001080
DB00199	0004854
DB00199	0004789
DB00199	0004652
DB00199	0005972
DB00199	0005976
DB00199	0005867
DB00199	0005808
DB00199	0005545
DB00199	0005504
DB00199	0004277
DB00199	0004264
DB00199	0005297
DB00199	0005247
DB00199	0005077
DB00199	0021201
DB12190	0024355
DB00139	0001356
DB00137	0006733
DB00137	0005150
DB00136	0000313
DB00136	0001220
DB00136	0006946
DB00133	0005338
DB00133	0006052
DB00140	0024298
DB12131	0001627
DB00146	0000313
DB00146	0006946
DB00146	0005520
DB00145	0011786
DB00145	0005709
DB00145	0003014
DB00153	0008159
DB00153	0024298
DB00153	0001220
DB00153	0001068
DB00153	0005520
DB00153	0005298
DB00153	0010619
DB00152	0010198
DB00152	0024298
DB00152	0020696
DB00152	0008228
DB01483	0013600
DB00151	0003781
DB00151	0004822
DB00151	0018741
DB00151	0019065
DB00159	0005347
DB00158	0001860
DB00158	0024298
DB00158	0001356
DB00162	0024298
DB00162	0007016
DB00169	0008159
DB00169	0024298
DB00169	0001220
DB00169	0001068
DB00169	0005520
DB00169	0005298
DB00175	0002277
DB00175	0005347
DB00175	0018473
DB00175	0005098
DB12148	0006784
DB01421	0001548
DB00109	0005109
DB00108	0005301
DB00108	0009960
DB00107	0041526
DB01437	0013600
DB00105	0018935
DB00105	0005231
DB00105	0005105
DB01436	0001741
DB01436	0001220
DB01436	0006946
DB00104	0019933
DB00104	0006689
DB00103	0010526
DB01433	0005530
DB01432	0021187
DB00100	0010604
DB01430	0005002
DB00115	0001860
DB00115	0024298
DB00115	0001356
DB00115	0020696
DB00115	0008228
DB00112	0002158
DB00112	0002087
DB00112	0005131
DB00112	0018364
DB00112	0018177
DB00111	0005314
DB00110	0001577
DB00128	0003019
DB00126	0006661
DB00122	0013600
DB00121	0000461
DB00130	0015183
DB01527	0005351
DB00209	0006624
DB00207	0001797
DB00207	0025598
DB00207	0001080
DB00207	0041879
DB00207	0004652
DB00207	0005972
DB00207	0005867
DB00207	0005545
DB00206	0005485
DB00206	0005044
DB00205	0005989
DB00205	0005136
DB00204	0004981
DB00203	0015924
DB00203	0005362
DB00201	0011786
DB00201	0021146
DB00201	0008000
DB00201	0040797
DB00201	0005709
DB00201	0043537
DB00200	0018754
DB00200	0020696
DB00200	0008228
DB00299	0005609
DB00299	0043653
DB00259	0006014
DB00259	0007019
DB00258	0000745
DB01589	0013600
DB00257	0001461
DB00257	0001405
DB00257	0005984
DB00257	0005915
DB00257	0005886
DB00257	0006014
DB01588	0013600
DB01586	0012672
DB01586	0005388
DB00254	0024472
DB00254	0001701
DB00254	0001797
DB00254	0001249
DB00254	0003781
DB00254	0001125
DB00254	0015766
DB00254	0001080
DB00254	0002258
DB00254	0005961
DB00254	0004652
DB00254	0005976
DB00254	0005888
DB00254	0005834
DB00254	0005867
DB00254	0016595
DB00254	0005777
