protein_name	disorder_name	score
P22352	0001083	0.30000001192092896
P22352	0004970	0.33000001311302185
P22352	0004721	0.3100000023841858
P22352	0003197	0.30000001192092896
P22352	0005606	0.30000001192092896
P22352	0006176	0.30000001192092896
P22352	0008315	0.3400000035762787
A0A087X1U5	0005601	0.30000001192092896
A0A087X1U5	0005061	0.30000001192092896
P61916	0001751	0.30000001192092896
P61916	0019046	0.30000001192092896
P61916	0011873	0.6700000166893005
P36969	0004989	0.3199999928474426
P36969	0001076	0.30000001192092896
P36969	0005575	0.3100000023841858
P36969	0005372	0.3100000023841858
P36969	0005009	0.30000001192092896
P36969	0009593	0.6100000143051147
A0A087X251	0014345	0.4000000059604645
A0A087X251	0019200	0.4099999964237213
A0A087X256	0014354	0.6000000238418579
A0A087X1T6	0011186	0.8700000047683716
A0A087X1T6	0012293	0.8199999928474426
A0A087X1T6	0003452	0.30000001192092896
A0A087X1T6	0016485	0.30000001192092896
A0A087X1T6	0016484	0.30000001192092896
A0A087X1T6	0019501	0.4699999988079071
P36941	0005136	0.30000001192092896
P36952	0021063	0.3100000023841858
P36952	0004989	0.3799999952316284
P36952	0005575	0.3100000023841858
P36952	0005401	0.3100000023841858
P36955	0008148	0.30000001192092896
P36955	0000960	0.3100000023841858
P36955	0013515	0.6899999976158142
P36955	0004971	0.30000001192092896
P36955	0004577	0.30000001192092896
P36955	0020283	0.3199999928474426
P36955	0009804	0.30000001192092896
P36955	0019019	0.5699999928474426
P36955	0008315	0.3499999940395355
P36956	0011122	0.4000000059604645
P36956	0005300	0.30000001192092896
P36957	0004069	0.30000001192092896
P22310	0011725	0.4000000059604645
P22310	0009044	0.46000000834465027
P22314	0015225	0.4000000059604645
P22314	0005096	0.30000001192092896
P22314	0008779	0.4000000059604645
P22314	0010532	0.7200000286102295
P22307	0001957	0.30000001192092896
P22307	0011380	0.30000001192092896
P22307	0001824	0.30000001192092896
P22307	0013391	0.6000000238418579
P22307	0019053	0.30000001192092896
P22307	0019046	0.30000001192092896
P22309	0011725	0.800000011920929
P22309	0009383	0.699999988079071
P22309	0009044	1
P22309	0001751	0.30000001192092896
P22309	0024288	0.4000000059604645
P22309	0001475	0.4000000059604645
P22309	0004992	0.30000001192092896
P22309	0003436	0.30000001192092896
P22309	0005480	0.30000001192092896
P22309	0044778	0.30000001192092896
P22309	0020329	0.30000001192092896
P22301	0000986	0.30000001192092896
P22301	0010200	0.3100000023841858
P22301	0000709	0.3100000023841858
P22301	0009172	0.38999998569488525
P22301	0013730	0.4000000059604645
P22301	0002462	0.3499999940395355
P22301	0005649	0.30000001192092896
P22301	0005534	0.3100000023841858
P22301	0016264	0.3199999928474426
P22301	0005445	0.4000000059604645
P22301	0005446	0.4000000059604645
P22301	0005301	0.4000000059604645
P22301	0005280	0.5
P22301	0005292	0.6000000238418579
P22301	0005233	0.4000000059604645
P22301	0005265	0.699999988079071
P22301	0006525	0.3100000023841858
P22301	0005109	0.4000000059604645
P22301	0005101	0.5
P22301	0005068	0.4000000059604645
P22301	0005052	0.4000000059604645
P22301	0019471	0.3499999940395355
P22301	0007191	0.699999988079071
P22301	0011989	0.3499999940395355
P22301	0008315	0.4000000059604645
P22301	0008383	0.4000000059604645
